"","Inoculum_1","Inoculum_2","Inoculum_3","Inoculum_4","Inoculum_5","Inoculum_6","Inoculum_7","Inoculum_8"
"806rcbc214",10902,10876,9045,9495,10486,9658,10547,12884
"806rcbc215",11027,10985,9094,9567,10602,9796,10791,12986
"806rcbc216",11571,12310,9489,9577,10602,9730,10585,12831
"806rcbc217",11246,11162,9177,9713,10750,9885,10820,13002
"806rcbc218",10947,10925,9042,9741,10522,9724,10660,13326
"806rcbc219",12237,11728,9447,10127,11126,10150,11349,12848
"806rcbc220",10988,10906,9038,9535,10397,9595,10983,12608
"806rcbc221",10966,10877,9037,9368,10364,9575,11268,12744
"806rcbc222",11122,11001,9074,9552,10399,9640,10670,12625
"806rcbc223",11053,11041,9102,9580,10997,9682,10561,12800
"806rcbc224",11001,10949,9124,9501,10560,9706,10548,12818
"806rcbc225",11487,11396,9288,9807,10959,10004,11092,13193
"806rcbc226",11373,11192,9246,9813,10966,10070,11098,13268
"806rcbc227",11359,11152,9147,9571,10725,9908,10693,12880
"806rcbc228",11169,11354,9205,9701,10702,9899,11041,12876
"806rcbc229",11030,11020,9173,9610,10549,9684,10547,12719
"806rcbc230",11358,11200,9173,9822,10578,9807,10641,12933
"806rcbc233",11673,11330,9343,10112,10974,10074,11001,13160
"806rcbc234",11341,11107,9228,9871,10903,10037,11009,13444
"806rcbc235",11200,11213,9138,9583,10670,9869,10634,12923
"806rcbc236",11514,11360,9218,9603,10477,9656,10470,12684
"806rcbc237",11385,11396,9412,9697,10917,10144,11016,13266
"806rcbc239",11157,11114,9105,9447,10607,9706,10620,12762
"806rcbc240",11333,11153,9150,9525,10638,9855,10816,12848
"806rcbc241",11103,11056,9281,9530,10573,9846,10554,12855
"806rcbc242",10958,10901,9051,9400,10385,9604,10422,12621
"806rcbc243",11255,11103,9122,10055,10716,9894,10756,13499
"806rcbc244",11120,11118,9136,9842,10683,9925,10744,12941
"806rcbc246",11046,11002,9183,9472,10962,9679,10508,12754
"806rcbc247",11127,11086,9214,9526,10597,9735,10527,12872
"806rcbc248",11551,11160,9200,9653,10560,9689,10518,12735
"806rcbc249",12087,11183,10841,9763,10955,10031,11065,13432
"806rcbc25",11564,11955,9378,9784,10500,9732,10526,12825
"806rcbc250",11286,11078,9122,9560,10905,9967,10811,13073
"806rcbc251",11227,11350,9182,9470,10717,9813,10638,12823
"806rcbc252",11130,11065,9129,9509,10657,9714,10521,12740
"806rcbc253",11112,11077,9192,9614,10898,10015,10889,12898
"806rcbc254",11181,11080,9135,9519,10674,9809,10678,12799
"806rcbc255",11160,11075,9120,9464,10628,10376,10602,12789
"806rcbc256",11220,11216,9279,9504,10967,9958,10779,12940
"806rcbc257",11166,11065,9131,9593,10819,10027,10792,13030
"806rcbc258",11429,11270,9255,9613,10928,9869,10753,12962
"806rcbc259",11527,11202,9335,9641,10591,9955,10582,12804
"806rcbc260",11167,11071,9100,9657,10610,9786,10559,12833
"806rcbc261",11805,11485,9382,10244,10764,10021,11384,13054
"806rcbc262",11197,11109,9223,9462,10551,9768,10575,12821
"806rcbc263",11217,11056,9147,9498,10566,9936,10744,12877
"806rcbc264",11344,11231,9253,9535,10890,9854,10835,12997
"806rcbc267",11744,11112,9130,9716,10466,9675,10596,12684
"806rcbc268",11382,11144,9233,9685,10510,9686,10629,12756
"806rcbc269",11240,11057,9162,9452,10454,9788,10532,12740
"806rcbc27",11474,11509,9307,10005,10596,10052,11278,13390
"806rcbc270",11180,11253,9115,9567,10556,9719,10597,12787
"806rcbc271",11578,11155,9156,9566,10648,9887,10755,13064
"806rcbc272",11214,11041,9410,9604,10494,9743,10599,12780
"806rcbc273",11172,11109,9141,9617,10584,9752,10501,12762
"806rcbc274",11200,11121,9115,9574,10629,9844,10626,12853
"806rcbc275",11354,11383,9222,9747,10889,10039,10765,13275
"806rcbc277",11137,11211,9098,9481,10533,9744,10521,12730
"806rcbc278",11166,10945,9088,9447,10659,9781,10596,12873
"806rcbc279",11540,11150,9232,9540,10511,9734,10618,12905
"806rcbc28",11102,11180,9197,9615,10480,9634,10479,12812
"806rcbc280",10946,10877,9038,9386,10363,9586,10743,13511
"806rcbc281",11556,11562,9525,9783,10612,9939,10989,13276
"806rcbc282",11192,11077,9157,9554,10618,9808,10631,12815
"806rcbc283",11258,11629,9328,9705,10491,9789,10746,12906
"806rcbc284",11267,11052,9173,9621,10491,9701,10580,12867
"806rcbc285",11645,11231,9339,9709,10515,9680,10566,12806
"806rcbc287",11180,11027,9105,9451,10409,9631,10457,12666
"806rcbc288",11163,11035,9137,10077,10633,10153,10499,12752
"806rcbc29",11378,11165,9175,9783,10627,20225,11367,13645
"806rcbc290",11193,11132,9123,9477,10692,9743,10550,12756
"806rcbc291",11064,11131,9127,9435,10467,9691,10625,12719
"806rcbc292",11216,11051,9112,9538,10547,9774,10531,12838
"806rcbc293",11197,11097,9101,9469,10516,9724,10583,12742
"806rcbc294",11239,11075,9179,9484,10504,9693,10552,12785
"806rcbc295",11243,11118,9106,9601,10470,9839,10542,13053
"806rcbc3",12146,11174,9324,9874,10780,9996,11364,13280
"806rcbc30",11543,11676,10642,9960,10818,10278,11455,13471
"806rcbc301",11160,10985,9164,9681,10556,9911,10721,13646
"806rcbc302",11213,12438,9216,9829,10679,9843,11001,13496
"806rcbc303",11128,11087,9133,9466,10491,9744,10550,13060
"806rcbc304",11482,11066,9182,9738,10638,9989,10880,13258
"806rcbc305",11205,11048,9179,9553,10654,17118,10808,13578
"806rcbc306",11165,11145,9203,9533,10525,9804,10543,13085
"806rcbc307",11111,11220,9171,9580,10591,9877,10630,13459
"806rcbc308",11081,11067,9175,9492,10557,9821,10555,13335
"806rcbc309",11211,12699,9181,9669,10600,9773,11280,13407
"806rcbc31",11218,11137,9143,9729,10592,9770,10650,12929
"806rcbc311",11638,11559,9433,9782,10836,10124,10863,13275
"806rcbc313",11455,11162,9236,9729,10656,12802,10790,12998
"806rcbc315",12001,11524,9868,9965,10869,10460,11221,13391
"806rcbc317",11216,11141,9149,9558,10554,9835,10537,13237
"806rcbc319",11073,11193,9144,9538,10469,9702,10481,13025
"806rcbc32",11529,11898,9416,10021,10861,10319,11732,12778
"806rcbc320",11089,11141,9366,9599,10528,9728,10491,13054
"806rcbc321",11547,11120,9180,9770,10709,9870,10831,12813
"806rcbc322",11150,11062,9139,9493,10553,9804,10507,13181
"806rcbc323",11123,10992,9199,9574,10541,9635,10927,13016
"806rcbc324",11169,11914,9097,9513,10617,9912,10615,13608
"806rcbc326",11046,11022,9165,9533,10545,9824,10550,13195
"806rcbc327",11082,11077,9177,9626,10602,9823,10561,13390
"806rcbc328",11120,11029,9100,9593,10525,9758,10795,13446
"806rcbc329",11251,11278,9360,9710,10581,9880,10745,13220
"806rcbc33",11385,11521,9380,9851,10769,10177,11176,13460
"806rcbc330",11120,11078,9143,9569,10556,9759,10591,13115
"806rcbc331",11123,11226,9150,9816,10553,9761,10548,13284
"806rcbc332",11118,11051,9172,9643,10490,9664,10461,12928
"806rcbc333",11092,11089,9177,9535,10549,9790,10550,13201
"806rcbc334",11087,11140,9137,9525,10579,9833,10584,13346
"806rcbc335",11376,11207,9447,9681,10962,10330,10936,13499
"806rcbc337",11012,11154,9209,9548,10627,9869,10652,13530
"806rcbc339",11650,11543,9417,9745,10841,9921,11116,12962
"806rcbc34",11702,11155,9320,9763,10685,10047,11590,13506
"806rcbc340",11241,11285,9239,9714,10755,10016,10783,13066
"806rcbc341",11079,11148,9187,9468,10481,9724,10527,13115
"806rcbc342",11112,11119,9184,9600,10727,10032,10626,12820
"806rcbc343",11074,11223,9153,9538,10626,9889,10598,13376
"806rcbc344",11198,11139,9279,9518,10591,9822,10701,13354
"806rcbc345",10995,11436,9165,9513,10527,9856,10563,13142
"806rcbc346",11121,11212,9151,9527,10601,9771,10527,13301
"806rcbc347",11337,11367,9815,9712,10649,10122,10981,12966
"806rcbc348",10978,11191,9139,9639,10435,9635,10619,12829
"806rcbc349",11054,10971,9118,9465,10498,9849,10491,13192
"806rcbc35",11619,11559,9205,9967,10747,10124,11142,13459
"806rcbc350",11068,10990,9142,9474,10423,9677,10431,12785
"806rcbc352",11826,11667,9416,9637,10856,10301,10858,13281
"806rcbc353",11324,11154,9379,9572,10493,9884,10638,13148
"806rcbc354",11106,11161,9139,9554,10514,9896,10549,13064
"806rcbc355",11076,11160,9191,9511,10525,9799,10564,13206
"806rcbc356",11107,11162,9122,9493,10726,10099,10603,13360
"806rcbc357",11064,11173,9095,9518,10470,9885,10523,13270
"806rcbc358",11125,11097,9102,9479,10442,9788,10506,13049
"806rcbc359",11116,11134,9128,9525,10611,9924,10580,13455
"806rcbc36",11073,11122,9239,9613,10560,10137,10548,13057
"806rcbc360",11505,11492,9379,9967,10896,10452,10792,13073
"806rcbc361",11784,11643,9467,9901,10692,10163,10816,13298
"806rcbc362",11190,11111,9198,9511,10578,9775,10521,12777
"806rcbc363",11062,11094,9161,9467,10534,9659,10456,12780
"806rcbc364",11221,11088,9173,9456,10645,9803,10498,12816
